start,end,center,mds1,mds2
185,13733,6959,-0.008974226121338164,0.0005245903070282161
13737,18280,16008,-0.006910665487028199,-1.7436241713132606e-05
18281,22609,20445,-0.00643971708823836,0.008309661128560653
22612,27230,24921,-0.005010696675004548,0.0111221733323983
27231,31665,29448,-0.0053643571979768365,0.005865875026443911
31669,36288,33978,-0.009201274324789828,0.002393510867914908
36291,41263,38777,-0.00734025573873402,0.004935912322177539
41269,45548,43408,-0.004190510890676137,-0.0014951814012409423
45552,50842,48197,0.00635849309246352,0.01981086133014558
50846,55284,53065,0.003026005208317928,0.0060465889652405935
55286,59429,57357,-0.0039461198427655116,0.005821694666596422
59431,64035,61733,-0.0039166741551348964,0.012532210075206957
64037,69041,66539,-0.0034649376071894914,0.010863770091539883
69043,73540,71291,-0.010688888709300112,0.0016903438495775671
73541,77541,75541,-0.010406194718368454,-0.0016533466322502818
77543,82128,79835,-0.009844229871861867,-0.0031369245324942667
82138,86625,84381,-0.009809657164420251,0.002346253411115218
86626,92179,89402,-0.008000512079251359,0.007098585853901482
92181,96586,94383,-0.010905200423333775,0.004682159800621725
96592,100876,98734,-0.01058258493393357,0.001722630098479342
100879,106025,103452,-0.010764229193549385,0.004434489164951357
106031,110332,108181,-0.00897773714952758,0.008103880693601668
110334,115124,112729,-0.011102654020113066,0.0035710591454597655
115128,120750,117939,-0.009380396783600397,0.004026519072034199
120753,125051,122902,-0.007902312878912202,0.0014631835888735754
125059,129642,127350,-0.0058396565220227145,-6.878806672909124e-05
129646,136339,132992,-0.0040860493485048825,-0.0007804560289691246
136353,140761,138557,-0.005864928417606056,0.003881453317785449
140764,145570,143167,-0.0038691286646963348,-0.0043349815500325515
145573,150405,147989,-0.0045059990580611125,-0.0007182553832544931
150424,156990,153707,-0.00904116380930394,0.006329933148650139
156992,161416,159204,-0.007599538415247847,0.006798337212646201
161419,165936,163677,-0.008225057128014338,0.006188392125275741
165937,170646,168291,0.00010621663867951391,0.006185066269053043
170649,176128,173388,0.0032785030368699484,0.01265681933794933
176132,180775,178453,-0.003984913029130535,0.006251151789167898
180780,185347,183063,0.0010914864587881097,0.007780310844885907
185348,190102,187725,-0.003793360326431178,0.003477249807243031
190103,196046,193074,-0.00949710954813543,0.0018866667067004887
196047,200466,198256,-0.002974404194646526,0.0010302143635820963
200470,204839,202654,-0.010911471347588837,0.005448981930352428
204844,209133,206988,-0.005154552633397229,0.010697581626468618
209134,213768,211451,0.003633306922304433,0.010508607119365996
213773,218149,215961,-0.002368768707421231,-0.0016268613552955777
218155,222515,220335,-0.004264960084141465,0.0018525350749082872
222528,226955,224741,-0.006649115849730075,0.0033448388726328966
226956,231292,229124,-0.0029175034603966124,0.004173335687801331
231294,235310,233302,0.004897468464065292,0.0004992000337333763
235317,239542,237429,0.0009727856856391117,0.009880080909665837
239543,243796,241669,-0.005250778471036611,0.006085935048610278
243802,247906,245854,-0.007427225898000532,0.0023083389213362088
247913,252173,250043,-0.010128628265198853,0.003543006535032488
252174,256474,254324,-0.00561155228244968,0.0021839698227458446
256477,261069,258773,-0.007934094140177737,0.005919113285766339
261072,265353,263212,-0.0007568178936498473,0.0038177129865983707
265360,270378,267869,0.0027933957244796214,-4.469380501309559e-05
270380,274833,272606,-0.00403704933580243,-0.0017898997276554677
274840,279494,277167,0.008159005153449082,0.002817673882337444
279498,283646,281572,0.0007519136940514232,0.0009153038231551236
283647,289338,286492,0.000924664919229322,0.006877352970397822
